Name	Born	Died	Age	Gender	Class.Dept	Class	Ticket	Fare	Cabin	Joined	Occupation	Survived	Boat	Body	Nationality	Pounds	Shillings	Pence	Price.Paid	Paidpp
ESTANISLAU, Mr Manuel Gonçalves	1874	1912	37	Male	3rd Class Passenger	3rd	3101306	£7             1s		Southampton	General Labourer	LOST				7	1		7.05	7.05
EUSTIS, Miss Elizabeth Mussey	1858	1936	54	Female	1st Class Passenger	1st	36947	£78             5s             4d	D20	Cherbourg		SAVED	4		American	78	5	4	78.27	39.135
EVANS, Miss Edith Corse	1875	1912	36	Female	1st Class Passenger	1st	17531	£31             13s             7d	A29	Cherbourg		LOST				31	13	7	31.68	31.68
EVERETT, Mr Thomas James	1874	1912	37	Male	3rd Class Passenger	3rd	6212	£15             2s		Southampton	Crane Operator	LOST		187	English	15	2		15.1	7.55
FAHLSTRøM, Mr Arne Joma	1893	1912	18	Male	2nd Class Passenger	2nd	236171	£13.00		Southampton		LOST				13			13	13
FARDON, Mr Charles Richard	1866	1912	46	Male	3rd Class Passenger	3rd	3101314	£7             5s		Southampton	Carpenter / Joiner	LOST			English	7	5		7.25	7.25
FARRELL, Mr James	1886	1912	26	Male	3rd Class Passenger	3rd	367232	£7             15s		Queenstown	Farm Labourer	LOST		68	Irish	7	15		7.75	7.75
FARTHING, Mr John	1863	1912	48	Male	1st Class Passenger Servant	1st	17483	£221             15s             7d	C95	Southampton	Servant	LOST			English	221	15	7	221.78	55.445
FAUNTHORPE, Mr Harry Bartram	1880	1912	31	Male	2nd Class Passenger	2nd	2926	£26.00		Southampton		LOST		286	English	26			26	13
FILLBROOK, Mr Joseph Charles	1894	1912	18	Male	2nd Class Passenger	2nd	15185	£10             10s		Southampton	Painter & Decorator	LOST			English	10	10		10.5	10.5
FINOLI, Mr Luigi	1870	1938	41	Male	3rd Class Passenger	3rd	3101308	£7             1s		Southampton		SAVED	15		Italian	7	1		7.05	7.05
FISCHER, Mr Eberhard Thelander	1893	1912	18	Male	3rd Class Passenger	3rd	350036	£7             15s             11d		Southampton		LOST			Swedish	7	15	11	7.8	7.8
FLEGENHEIM, Mrs Antoinette	1863	1943	48	Female	1st Class Passenger	1st	17598	£31             13s             8d		Cherbourg		SAVED	7			31	13	8	31.68	31.68
FLEMING, Miss Honor	1890	1912	22	Female	3rd Class Passenger	3rd	364859	£7             15s		Queenstown		LOST			Irish	7	15		7.75	7.75
FLEMING, Miss Margaret	1870	1941	42	Female	1st Class Passenger Servant	1st	17421	£110             17s             8d		Cherbourg	Personal Maid	SAVED	4		American	110	17	8	110.88	27.72
FLYNN, Mr James	1883	1912	28	Male	3rd Class Passenger	3rd	364851	£7             15s		Queenstown	General Labourer	LOST			Irish	7	15		7.75	7.75
FLYNN, Mr John	1864	1912	48	Male	3rd Class Passenger	3rd	368323	£6             19s		Queenstown	Farm Labourer	LOST			Irish	6	19		6.95	6.95
FLYNN, Mr John Irwin	1875	1951	36	Male	1st Class Passenger	1st	PC 14474	£26             5s             9d	E25	Southampton		SAVED	5		Canadian,American	26	5	9	26.29	26.29
FOLEY, Mr Joseph	1893	1912	19	Male	3rd Class Passenger	3rd	330910	£7             17s             7d		Queenstown	Farm Labourer	LOST			Irish	7	17	7	7.88	7.88
FOLEY, Mr William	1891	1912	20	Male	3rd Class Passenger	3rd	365235	£7             15s		Queenstown	Farm Labourer	LOST			Irish	7	15		7.75	7.75
FOO, Mr Choong	1880		32	Male	3rd Class Passenger	3rd	1601	£56             9s             11d		Southampton	Seaman	SAVED	13			56	9	11	56.5	7.0625
FORD, Miss Dollina Margaret	1891	1912	20	Female	3rd Class Passenger	3rd	6608	£34             7s             6d		Southampton	Servant	LOST			English	34	7	6	34.38	6.876
FORD, Miss Robina Maggie	1904	1912	7	Female	3rd Class Passenger	3rd	6608	£34             7s             6d		Southampton		LOST			English	34	7	6	34.38	6.876
FORD, Mr Arthur	1889	1912	23	Male	3rd Class Passenger	3rd	1478	£8             1s		Southampton	Carpenter / Joiner	LOST			English	8	1		8.05	8.05
FORD, Mr Edward Watson	1894	1912	18	Male	3rd Class Passenger	3rd	6608	£34             7s             6d		Southampton	Blacksmith	LOST				34	7	6	34.38	6.876
FORD, Mr William Neal Thomas	1897	1912	14	Male	3rd Class Passenger	3rd	6608	£34             7s             6d		Southampton	Messenger	LOST			English	34	7	6	34.38	6.876
FORD, Mrs Margaret Ann Watson	1857	1912	54	Female	3rd Class Passenger	3rd	6608	£34             7s             6d		Southampton	Farmer	LOST			Scottish	34	7	6	34.38	6.876
FOREMAN, Mr Benjamin Laventall	1881	1912	30	Male	1st Class Passenger	1st	113051	£27             15s	C111	Southampton		LOST			American	27	15		27.75	27.75
FORTUNE, Miss Alice Elizabeth	1887	1961	24	Female	1st Class Passenger	1st	19950	£263.00	C23/25/27	Southampton		SAVED	10			263			263	43.833333333
FORTUNE, Miss Ethel Flora	1883	1961	28	Female	1st Class Passenger	1st	19950	£263.00	C23/25/27	Southampton		SAVED	10			263			263	43.833333333
FORTUNE, Miss Mabel Helen	1888	1968	23	Female	1st Class Passenger	1st	19950	£263.00	C23/25/27	Southampton		SAVED	10			263			263	43.833333333
FORTUNE, Mr Charles Alexander	1892	1912	19	Male	1st Class Passenger	1st	19950	£263.00	C23/25/27	Southampton		LOST				263			263	43.833333333
FORTUNE, Mr Mark	1847	1912	64	Male	1st Class Passenger	1st	19950	£263.00	C23/25/27	Southampton		LOST				263			263	43.833333333
FORTUNE, Mrs Mary	1851	1929	60	Female	1st Class Passenger	1st	19950	£263.00	C23/25/27	Southampton		SAVED	10		Canadian	263			263	43.833333333
FOX, Mr Patrick	1883	1912	28	Male	3rd Class Passenger	3rd	368573	£7             15s		Queenstown	General Labourer	LOST			Irish	7	15		7.75	7.75
FOX, Mr Stanley Harrington	1874	1912	38	Male	2nd Class Passenger	2nd	229236	£13.00		Southampton	Businessman	LOST		236	American	13			13	13
FRANCATELLI, Miss Laura Mabel	1880	1967	31	Female	1st Class Passenger Servant	1st	17485	£56             18s             7d	E36	Cherbourg	Secretary	SAVED	1		English	56	18	7	56.93	28.465
FRANKLIN, Mr Thomas Parnham	1874	1912	37	Male	1st Class Passenger	1st	113778	£26             11s	D34	Southampton		LOST			English	26	11		26.55	26.55
FRAUENTHAL, Dr Henry William	1863	1927	49	Male	1st Class Passenger	1st	17611	£133             13s		Southampton	Doctor	SAVED	5			133	13		133.65	66.825
FRAUENTHAL, Mr Isaac Gerald	1868	1932	43	Male	1st Class Passenger	1st	17765	£27             14s             5d	D40	Cherbourg		SAVED	5			27	14	5	27.72	27.72
FRAUENTHAL, Mrs Clara	1869	1943	42	Female	1st Class Passenger	1st	17611	£133             13s		Southampton		SAVED	5		American	133	13		133.65	66.825
FRöLICHER-STEHLI, Mr Maximilian Josef	1851	1913	60	Male	1st Class Passenger	1st	13567	£79             4s	B41	Cherbourg		SAVED	5			79	4		79.2	39.6
FRöLICHER-STEHLI, Mrs Margaretha Emerentia	1864	1955	48	Female	1st Class Passenger	1st	13567	£79             4s	B41	Cherbourg		SAVED	5			79	4		79.2	39.6
FRöLICHER, Miss Hedwig Margaritha	1889	1972	22	Female	1st Class Passenger	1st	13568	£49             10s	B39	Cherbourg		SAVED	5			49	10		49.5	49.5
FROST, Mr Anthony Wood	1874	1912	38	Male	2nd Class Passenger H&W Guarantee Group	2nd	239854			Belfast	Fitter	LOST			English					
FRY, Mr Richard Thomas	1872	1912	39	Male	1st Class Passenger Servant	1st	112058		B102	Southampton	Personal Valet	LOST			English					
FUNK, Miss Annie Clemmer	1874	1912	38	Female	2nd Class Passenger	2nd	237671	£13.00		Southampton	Missionary	LOST			American	13			13	13
FUTRELLE, Mr Jacques Heath	1875	1912	37	Male	1st Class Passenger	1st	113803	£53             2s	C123 ?	Southampton	Writer	LOST				53	2		53.1	26.55
FUTRELLE, Mrs Lily May	1876	1967	35	Female	1st Class Passenger	1st	113803	£53             2s	C123 ?	Southampton		SAVED	D			53	2		53.1	26.55
FYNNEY, Mr Joseph J.	1876	1912	36	Male	2nd Class Passenger	2nd	239865	£26.00		Southampton	Rubber Merchant	LOST		322	English	26			26	13
GALE, Mr Harry	1874	1912	37	Male	2nd Class Passenger	2nd	28664	£21.00		Southampton	Miner	LOST			English	21			21	10.5
GALE, Mr Shadrach	1878	1912	33	Male	2nd Class Passenger	2nd	28664	£21.00		Southampton	Miner	LOST			English	21			21	10.5
GALLAGHER, Mr Martin	1883	1912	29	Male	3rd Class Passenger	3rd	36864	£7             14s             10d		Queenstown	Farm Labourer	LOST			Irish	7	14	10	7.74	7.74
GARFIRTH, Mr John	1889	1912	21	Male	3rd Class Passenger	3rd	358585	£14             10s		Southampton	Shoemaker	LOST			English	14	10		14.5	7.25
GARSIDE, Miss Ethel	1873	1953	39	Female	2nd Class Passenger	2nd	243880	£13.00		Southampton		SAVED	12		English	13			13	13
GASKELL, Mr William Alfred	1893	1912	19	Male	2nd Class Passenger	2nd	239865	£26.00		Southampton	Cooper	LOST			English	26			26	13
GAVEY, Mr Laurence	1886	1912	26	Male	2nd Class Passenger	2nd	31028	£10             10s		Southampton		LOST			Channel Islander	10	10		10.5	10.5
GEE, Mr Arthur H.	1865	1912	47	Male	1st Class Passenger	1st	111320	£38             10s	E63	Southampton		LOST		275		38	10		38.5	38.5
GEORGIEV, Mr Stenyu		1912		Male	3rd Class Passenger	3rd	349254	£7             17s             11d		Cherbourg	General Labourer	LOST				7	17	11	7.9	7.9
GIBSON, Miss Dorothy Winifred	1889	1946	22	Female	1st Class Passenger	1st	112378	£59             8s		Cherbourg		SAVED	7		American	59	8		59.4	29.7
GIBSON, Mrs Pauline Caroline	1866	1961	45	Female	1st Class Passenger	1st	112378	£59             8s		Cherbourg		SAVED	7		American	59	8		59.4	29.7
GIEGER, Miss Amalie Henriette	1876	1933	35	Female	1st Class Passenger Servant	1st	113503	£211             10s	C130 ?	Southampton	Personal Maid	SAVED	4		Prussian	211	10		211.5	42.3
GIGLIO, Mr Victor Gaitan Andrea	1888	1912	23	Male	1st Class Passenger Servant	1st	17593	£79             4s	B86	Cherbourg	Servant	LOST				79	4		79.2	39.6
GILBERT, Mr William	1865	1912	46	Male	2nd Class Passenger	2nd	30769	£10             10s		Southampton		LOST			English	10	10		10.5	10.5
GILES, Mr Edgar	1893	1912	18	Male	2nd Class Passenger	2nd	28133	£11             10s		Southampton	Cab Driver	LOST			English	11	10		11.5	11.5
GILES, Mr Frederick Edward	1891	1912	20	Male	2nd Class Passenger	2nd	28134	£11             10s		Southampton	Bus Driver	LOST			English	11	10		11.5	11.5
GILES, Mr Ralph	1887	1912	24	Male	2nd Class Passenger	2nd	248726	£13             10s		Southampton		LOST		297		13	10		13.5	13.5
GILINSKI, Mr Eliezer	1889	1912	23	Male	3rd Class Passenger	3rd	14973	£8             1s		Southampton	Locksmith	LOST		47		8	1		8.05	8.05
GILL, Mr John	1888	1912	24	Male	2nd Class Passenger	2nd	233866	£13.00		Southampton	Chauffeur	LOST		155	English	13			13	13
GILLESPIE, Mr William Henry	1880	1912	31	Male	2nd Class Passenger	2nd	12233	£13.00		Southampton	Clerk	LOST			Irish	13			13	13
GILNAGH, Miss Kate	1894	1971	17	Female	3rd Class Passenger	3rd	35851	£7             14s             8d		Queenstown		SAVED	16		Irish	7	14	8	7.73	7.73
GIVARD, Mr Hans Kristensen	1884	1912	27	Male	2nd Class Passenger	2nd	250646	£13.00		Southampton		LOST		305	Danish	13			13	13
GLYNN, Miss Mary Agatha	1893	1955	18	Female	3rd Class Passenger	3rd	335677	£7             15s		Queenstown	Maid	SAVED	13		Irish	7	15		7.75	7.75
GOLDENBERG, Mr Samuel Levi	1864	1936	47	Male	1st Class Passenger	1st	17453	£89             2s             1d	C92	Cherbourg		SAVED	5		American	89	2	1	89.1	44.55
GOLDENBERG, Mrs Nella Carlynne	1866	1947	46	Female	1st Class Passenger	1st	17453	£89             2s             1d	C92	Cherbourg		SAVED	5		Italian,American	89	2	1	89.1	44.55
GOLDSCHMIDT, Mr George B.	1840	1912	71	Male	1st Class Passenger	1st	17754	£34             13s             1d	A5	Cherbourg	Lawyer	LOST			American	34	13	1	34.65	34.65
GOLDSMITH, Master Frank John William	1902	1982	9	Male	3rd Class Passenger	3rd	363291	£20             10s             6d		Southampton		SAVED	C		English	20	10	6	20.53	6.8433333333
GOLDSMITH, Mr Frank John	1879	1912	33	Male	3rd Class Passenger	3rd	363291	£20             10s             6d		Southampton	Turner	LOST			English	20	10	6	20.53	6.8433333333
GOLDSMITH, Mr Nathan	1871	1912	41	Male	3rd Class Passenger	3rd	3101263	£7             17s		Southampton	Shoemaker	LOST				7	17		7.85	7.85
GOLDSMITH, Mrs Emily Alice	1880	1955	31	Female	3rd Class Passenger	3rd	363291	£20             10s             6d		Southampton		SAVED	C		English	20	10	6	20.53	6.8433333333
GOODWIN, Master Harold Victor	1901	1912	10	Male	3rd Class Passenger	3rd	2144	£46             18s		Southampton		LOST			English	46	18		46.9	5.8625
GOODWIN, Master Sidney Leslie	1910	1912	1	Male	3rd Class Passenger	3rd	2144	£46             18s		Southampton		LOST		4	English	46	18		46.9	5.8625
GOODWIN, Master William Frederick	1898	1912	13	Male	3rd Class Passenger	3rd	2144	£46             18s		Southampton		LOST			English	46	18		46.9	5.8625
GOODWIN, Miss Jessie Allis Mary	1900	1912	12	Female	3rd Class Passenger	3rd	2144	£46             18s		Southampton		LOST			English	46	18		46.9	5.8625
GOODWIN, Miss Lillian Augusta	1896	1912	16	Female	3rd Class Passenger	3rd	2144	£46             18s		Southampton	Servant	LOST				46	18		46.9	5.8625
GOODWIN, Mr Charles Edward	1897	1912	14	Male	3rd Class Passenger	3rd	2144	£46             18s		Southampton	Scholar	LOST			English	46	18		46.9	5.8625
GOODWIN, Mr Frederick Joseph	1870	1912	42	Male	3rd Class Passenger	3rd	2144	£46             18s		Southampton	Engineer	LOST			English	46	18		46.9	5.8625
GOODWIN, Mrs Augusta	1868	1912	43	Female	3rd Class Passenger	3rd	2144	£46             18s		Southampton		LOST			English	46	18		46.9	5.8625
GRACIE, Colonel Archibald	1859	1912	53	Male	1st Class Passenger	1st	113780	£28             10s	C51	Southampton	Writer	SAVED	B		American	28	10		28.5	28.5
GRAHAM, Miss Margaret Edith	1893	1976	19	Female	1st Class Passenger	1st	17582	£153             9s             3d	C125	Southampton		SAVED	3			153	9	3	153.46	51.153333333
GRAHAM, Mr George Edward	1873	1912	38	Male	1st Class Passenger	1st	112053	£30.00	B42 ?	Southampton	Sales Manager	LOST		147	Canadian	30			30	30
GRAHAM, Mrs Edith	1853	1924	58	Female	1st Class Passenger	1st	17582	£153             9s             3d	C91	Southampton		SAVED	3		American	153	9	3	153.46	51.153333333
GREEN, Mr George	1871	1912	41	Male	3rd Class Passenger	3rd	21440	£8             1s		Southampton	Farrier	LOST				8	1		8.05	8.05
GREENBERG, Mr Samuel	1860	1912	51	Male	2nd Class Passenger	2nd	250647	£13.00		Southampton		LOST		19		13			13	6.5
GREENFIELD, Mr William Bertram	1888	1949	23	Male	1st Class Passenger	1st	17759	£63             7s             2d	D10	Cherbourg		SAVED	7		American	63	7	2	63.36	31.68
GREENFIELD, Mrs Blanche	1867	1936	45	Female	1st Class Passenger	1st	17759	£63             7s             2d	D10	Cherbourg		SAVED	7		American	63	7	2	63.36	31.68
GRøNNESTAD, Mr Daniel Danielsen	1879	1912	32	Male	3rd Class Passenger	3rd	8471	£8             6s             15d		Southampton	General Labourer	LOST				8	6	15	8.36	8.36
GUEST, Mr Stephen	1889	1912	22	Male	3rd Class Passenger	3rd	376563	£8             1s		Southampton	General Labourer	LOST			English	8	1		8.05	8.05
GUGGENHEIM, Mr Benjamin	1865	1912	46	Male	1st Class Passenger	1st	17593	£79             4s	B-82	Cherbourg	Businessman	LOST				79	4		79.2	39.6
GUSTAFSSON, Mr Alfred Ossian	1892	1912	19	Male	3rd Class Passenger	3rd	7534	£9             16s             11d		Southampton	General Labourer	LOST			Finnish	9	16	11	9.85	4.925
GUSTAFSSON, Mr Anders Vilhelm	1875	1912	37	Male	3rd Class Passenger	3rd	3101276	£7             18s             6d		Southampton	General Labourer	LOST		98		7	18	6	7.93	7.93
GUSTAFSSON, Mr Johan Birger	1883	1912	28	Male	3rd Class Passenger	3rd	3101277	£7             18s             6d		Southampton		LOST				7	18	6	7.93	7.93
GUSTAFSSON, Mr Karl Gideon	1893	1912	19	Male	3rd Class Passenger	3rd	347069	£7             15s             6d		Southampton	General Labourer	LOST			Swedish	7	15	6	7.78	7.78
HAAS, Miss Aloisia	1888	1912	24	Female	3rd Class Passenger	3rd	349236	£8             17s	R190	Southampton	General Labourer	LOST				8	17		8.85	8.85
HAGLAND, Mr Ingvald Olai Olsen	1884	1912	28	Male	3rd Class Passenger	3rd	65303	£6             19s             4d		Southampton	Fisherman	LOST				6	19	4	6.97	6.97
HAGLAND, Mr Konrad Mathias Reiersen	1892	1912	19	Male	3rd Class Passenger	3rd	65304	£6             19s             4d		Southampton	General Labourer	LOST			Norwegian	6	19	4	6.97	6.97
HAKKARAINEN, Mr Pekka Pietari	1884	1912	28	Male	3rd Class Passenger	3rd	3101279	£15             17s		Southampton	General Labourer	LOST			Finnish	15	17		15.85	7.925
HAKKARAINEN, Mrs Elin Matilda	1888	1957	24	Female	3rd Class Passenger	3rd	3101279	£15             17s		Southampton		SAVED	15		Finnish	15	17		15.85	7.925
HALE, Mr Reginald	1881	1912	31	Male	2nd Class Passenger	2nd	250653	£13.00		Southampton	Gardener	LOST		75	English	13			13	13
HäMäLäINEN, Master Viljo Unto Johannes	1911	1914	1	Male	2nd Class Passenger	2nd	250649	£14             10s		Southampton		SAVED			American	14	10		14.5	7.25
HäMäLäINEN, Mrs Anna Lydia Amanda	1889	1945	23	Female	2nd Class Passenger	2nd	250649	£14             10s		Southampton		SAVED				14	10		14.5	7.25
HAMPE, Mr Léon Jérome	1892	1912	19	Male	3rd Class Passenger	3rd	345769	£9             10s		Southampton	Painter & Decorator	LOST				9	10		9.5	9.5
ḤANNā AL-HāJ, Mr Mansūr	1877	1912	35	Male	3rd Class Passenger	3rd	2693	£7             4s             7d		Cherbourg		LOST		188	Syrian	7	4	7	7.23	7.23
ḤANNā, Mr Mubārik Sulaymān Abī Āsī	1885	1952	27	Male	3rd Class Passenger	3rd	2663	£7             4s             7d		Cherbourg		SAVED	15		Syrian	7	4	7	7.23	7.23
HANSEN, Mr Claus Peter	1871	1912	41	Male	3rd Class Passenger	3rd	350026	£14             2s             2d		Southampton	Barber	LOST			Danish,American	14	2	2	14.11	7.055
HANSEN, Mr Henry Damsgaard	1891	1912	20	Male	3rd Class Passenger	3rd	350029	£7             17s             1d		Southampton	Manufacturer	LOST		69	Danish	7	17	1	7.85	7.85
HANSEN, Mr Jens Henrik Marius Juul	1886	1912	25	Male	3rd Class Passenger	3rd	350025	£7             17s             1d		Southampton	Farmer	LOST			Danish	7	17	1	7.85	7.85
HANSEN, Mrs Jennie Louise	1866	1952	45	Female	3rd Class Passenger	3rd	350026	£14             2s             2d		Southampton		SAVED	11		American	14	2	2	14.11	7.055
HARBECK, Mr William H.	1866	1912	45	Male	2nd Class Passenger	2nd	248746	£13.00		Southampton	Cinematographer	LOST		35	American	13			13	13
HARDER, Mr George Achilles	1886	1959	25	Male	1st Class Passenger	1st	11765	£55             8s             10d	E50	Cherbourg	Businessman	SAVED	5		American	55	8	10	55.44	27.72
HARDER, Mrs Dorothy	1890	1926	21	Female	1st Class Passenger	1st	11765	£55             8s             10d	E50	Cherbourg		SAVED	5		American	55	8	10	55.44	27.72
HARGADON, Miss Kate	1894	1912	17	Female	3rd Class Passenger	3rd	30631	£7             14s             8d		Queenstown	Cook	LOST			Irish	7	14	8	7.73	7.73
HARKNETT, Miss Alice Phoebe	1890	1912	21	Female	3rd Class Passenger	3rd	6609	£7             11s		Southampton	Domestic Kitchen Servant	LOST			English	7	11		7.55	7.55
HARPER, Miss Annie Jessie	1906	1986	6	Female	2nd Class Passenger	2nd	248727	£33.00		Southampton		SAVED	11		Scottish	33			33	11
HARPER, Mr Henry Sleeper	1864	1944	48	Male	1st Class Passenger	1st	17572	£76             14s             7d	D33	Cherbourg	Of Independent Means	SAVED	3			76	14	7	76.73	25.576666667
HARPER, Mrs Myra Raymond	1863	1923	49	Female	1st Class Passenger	1st	17572	£76             14s             7d	D33	Cherbourg		SAVED	3		American	76	14	7	76.73	25.576666667
HARPER, Rev. John	1872	1912	39	Male	2nd Class Passenger	2nd	248727	£33.00		Southampton	Priest / Minister	LOST			Scottish	33			33	11
HARRINGTON, Mr Charles Henry	1875	1912	37	Male	1st Class Passenger Servant	1st	113796	£42             8s		Southampton	Servant	LOST			English	42	8		42.4	21.2
HARRIS, Mr George	1850	1919	62	Male	2nd Class Passenger	2nd	752	£10             10s		Southampton		SAVED	15		English	10	10		10.5	5.25
HARRIS, Mr Henry Burkhardt	1866	1912	45	Male	1st Class Passenger	1st	36973	£83             9s             6d	C83	Southampton	Theatre Manager	LOST			American	83	9	6	83.48	41.74
HARRIS, Mr Walter	1867	1912	45	Male	2nd Class Passenger	2nd	14208	£10             10s		Southampton		LOST				10	10		10.5	10.5
HARRIS, Mrs Irene	1876	1969	35	Female	1st Class Passenger	1st	36973	£83             9s             6d	C83	Southampton		SAVED	D			83	9	6	83.48	41.74
HARRISON, Mr William Henry	1866	1912	45	Male	1st Class Passenger Servant	1st	112059		B94	Southampton	Secretary	LOST		110	English					
HART, Miss Eva Miriam	1905	1996	7	Female	2nd Class Passenger	2nd	13529	£26             5s		Southampton		SAVED	14			26	5		26.25	8.75
HART, Mr Benjamin	1864	1912	47	Male	2nd Class Passenger	2nd	13529	£26             5s		Southampton	Builder	LOST				26	5		26.25	8.75
HART, Mr Henry	1882	1912	30	Male	3rd Class Passenger	3rd	394140	£6             17s             2d		Queenstown	General Labourer	LOST			Irish	6	17	2	6.86	6.86
HART, Mrs Emily Esther Louisa	1863	1928	48	Female	2nd Class Passenger	2nd	13529	£26             5s		Southampton		SAVED	14		English	26	5		26.25	8.75
HARTLEY, Mr Wallace Henry	1878	1912	33	Male	2nd Class Passenger Musician	2nd	250654		E	Southampton	Musician	LOST		224						
HASSAB, Mr Hammad	1885	1965	27	Male	1st Class Passenger Servant	1st	17572	£76             14s             7d	D49	Cherbourg	Servant	SAVED	3		Egyptian	76	14	7	76.73	25.576666667
HAWKSFORD, Mr Walter James	1867	1922	45	Male	1st Class Passenger	1st	16988	£30.00	D45	Southampton	Sales Manager	SAVED	3		English	30			30	30
HAYS, Miss Margaret Bechstein	1887	1956	24	Female	1st Class Passenger	1st	11767	£83             3s             2d	C54	Cherbourg		SAVED	7			83	3	2	83.16	27.72
HAYS, Mr Charles Melville	1856	1912	55	Male	1st Class Passenger	1st	12749	£93             10s	B69	Southampton	Businessman	LOST		307		93	10		93.5	23.375
HAYS, Mrs Clara Jennings	1859	1955	52	Female	1st Class Passenger	1st	12749	£93             10s	B69	Southampton		SAVED	3			93	10		93.5	23.375
HEAD, Mr Christopher	1869	1912	42	Male	1st Class Passenger	1st	113038	£42             10s	B11	Southampton	Politician	LOST			English	42	10		42.5	42.5
HEALY, Miss Honor	1879	1919	33	Female	3rd Class Passenger	3rd	370375	£7             15s		Queenstown	Farmer	SAVED	16		Irish	7	15		7.75	7.75
HEDMAN, Mr Oskar Arvid	1884	1961	27	Male	3rd Class Passenger	3rd	347089	£6             19s             6d		Southampton	Settler Recruiter	SAVED	15		Swedish,American	6	19	6	6.98	6.98
HEE, Mr Ling	1888		24	Male	3rd Class Passenger	3rd	1601	£56             9s             11d		Southampton	Seaman	SAVED	C			56	9	11	56.5	7.0625
HEGARTY, Miss Hanora	1892	1912	20	Female	3rd Class Passenger	3rd	365226	£6             15s		Queenstown		LOST			Irish	6	15		6.75	6.75
HEIKKINEN, Miss Laina Maria	1896	1943	16	Female	3rd Class Passenger	3rd	3101282	£7             18s             6d		Southampton		SAVED			Finnish	7	18	6	7.93	7.93
HEININEN, Miss Wendla Maria	1888	1912	23	Female	3rd Class Passenger	3rd	3101290	£7             18s             6d		Southampton	Servant	LOST		8	Finnish	7	18	6	7.93	7.93
HELLSTRöM, Miss Hilda Maria	1889	1962	22	Female	3rd Class Passenger	3rd	7548	£8             19s             3d	[D] O135	Southampton		SAVED	C			8	19	3	8.96	8.96
HENDEKOVIć, Mr Ignjac	1882	1912	30	Male	3rd Class Passenger	3rd	349243	£7             17s             11d		Southampton	General Labourer	LOST		306	Croatian	7	17	11	7.9	7.9
HENRIKSSON, Miss Jenny Lovisa	1883	1912	28	Female	3rd Class Passenger	3rd	347086	£7             15s             6d		Southampton	Servant	LOST		3	Swedish	7	15	6	7.78	7.78
HENRY, Miss Bridget	1890	1912	22	Female	3rd Class Passenger	3rd	382649	£7             15s		Queenstown		LOST			Irish	7	15		7.75	7.75
HERMAN, Miss Alice	1887	1947	24	Female	2nd Class Passenger	2nd	220845	£65.00		Southampton		SAVED	9		English	65			65	13
HERMAN, Miss Kate	1887	1983	24	Female	2nd Class Passenger	2nd	220845	£65.00		Southampton		SAVED	9		English	65			65	13
HERMAN, Mr Samuel	1862	1912	50	Male	2nd Class Passenger	2nd	220845	£65.00		Southampton	Farmer	LOST			English	65			65	13
HERMAN, Mrs Jane	1861	1937	50	Female	2nd Class Passenger	2nd	220845	£65.00		Southampton		SAVED	9		English,Indian	65			65	13
HEWLETT, Mrs Mary Dunbar	1855	1917	56	Female	2nd Class Passenger	2nd	248706	£16.00		Southampton		SAVED	13		English	16			16	16
HICKMAN, Mr Leonard Mark	1887	1912	24	Male	2nd Class Passenger	2nd	14879	£73             10s		Southampton		LOST			English	73	10		73.5	10.5
HICKMAN, Mr Lewis	1881	1912	30	Male	2nd Class Passenger	2nd	14879	£73             10s		Southampton		LOST		256	English	73	10		73.5	10.5
HICKMAN, Mr Stanley George	1890	1912	21	Male	2nd Class Passenger	2nd	14879	£73             10s		Southampton		LOST			English	73	10		73.5	10.5
HILLIARD, Mr Herbert Henry	1867	1912	44	Male	1st Class Passenger	1st	17463	£51             17s             3d	E46	Southampton	Buyer	LOST			English	51	17	3	51.86	25.93
HILTUNEN, Miss Martta Maria	1894	1912	18	Female	2nd Class Passenger	2nd	250650	£13.00		Southampton		LOST			Finnish	13			13	13
HIPKINS, Mr William Edward	1857	1912	55	Male	1st Class Passenger	1st	680	£50.00	C39	Southampton	Manufacturer	LOST				50			50	50
HIPPACH, Miss Gertrude Isabelle	1894	1974	17	Female	1st Class Passenger	1st	111361	£57             19s             7d	B18	Cherbourg		SAVED	4		American	57	19	7	57.98	28.99
HIPPACH, Mrs Ida Sophia	1867	1940	44	Female	1st Class Passenger	1st	111361	£57             19s             7d	B18	Cherbourg		SAVED	4		American	57	19	7	57.98	28.99
HIRVONEN, Miss Hildur Elisabeth	1910	1956	2	Female	3rd Class Passenger	3rd	3101298	£12             5s             9d		Southampton		SAVED	15			12	5	9	12.29	6.145
HIRVONEN, Mrs Helga Elisabeth Lindqvist	1890	1961	22	Female	3rd Class Passenger	3rd	3101298	£12             5s             9d		Southampton		SAVED	15			12	5	9	12.29	6.145
HOCKING, Miss Ellen	1891	1963	20	Female	2nd Class Passenger	2nd	29105	£23.00		Southampton		SAVED	4		English	23			23	11.5
HOCKING, Mr Richard George	1888	1912	23	Male	2nd Class Passenger	2nd	29104	£11             10s		Southampton	Baker	LOST			English	11	10		11.5	11.5
HOCKING, Mr Samuel James Metcalfe	1876	1912	36	Male	2nd Class Passenger	2nd	242963	£13.00		Southampton	Painter & Decorator	LOST			English	13			13	13
HOCKING, Mrs Eliza	1858	1914	54	Female	2nd Class Passenger	2nd	29105	£23.00		Southampton		SAVED	4		English	23			23	11.5
